legacyCategory,legacyId,sourceCompanyName,displayName,url,logo,showHide,hideReason,parentLegacyId,desc,primarySector,secondarySector,tertiarySector,quaternarySector,quinarySector,senarySector
Apparel,13008,Zalando SE,Zalando SE,http://zalando.se,,Show,,13008,,Casual wear,,,,,
Apparel,13009,ABC Compounding Inc.,ABC Compounding,http://abccompounding.com,,Category,,13009,,Industrial Cleaning Products,,,,,
Travel Services,17602,Earth Forceltd,Earth Forceltd,https://earthforceltd.com/,,Category,,13009,,Industrial Cleaning Products,,,,,
Travel Services,17603,Bio Tek,Bio Tek,https://biotek.abccompounding.com/,,Category,,13009,,Industrial Cleaning Products,,,,,
Travel Services,17604,Lynx,Lynx,https://lynx.abccompounding.com/,,Show,,13009,Chemical cleaning supplies for a wide range of requirments and areas,Cleaning Supplies,,,,,
Apparel,13010,ABCO Products,ABCO Products,http://abcoproducts.com,,Category,,13010,,Industrial Cleaning Products,,,,,
Apparel,13011,Acme Paper,Acme Paper,http://acmepaper.com,,Show,,13011,"wholesale packaging distributor,",Wholesalers,,,,,
Tobacco & Alcohol,16552,ReStockIt,ReStockIt,https://www.restockit.com/,,Show,,13011,"Office, Foodservice, and cleaning supplies",Department Stores,,,,,
Apparel,13012,AFFLINK Member Brands,AFFLINK Member Brands,http://afflink.com,,Show,,13012,Check,Transportation Services,,,,,
Apparel,13013,Airlie Center,Airlie Center,http://airlie.com,,Show,,13013,,Accommodations,,,,,
Apparel,13015,ALCO Soap and Supply,ALCO Soap and Supply,http://alco-usa.com,,Show,,13015,Chemical cleaning supplies for a wide range of requirments and areas,Cleaning Supplies,,,,,
Apparel,13016,AlkaVie Solutions,AlkaVie Solutions,http://alkaviesolutions.com,,Show,,13016,Chemical cleaning supplies for a wide range of requirments and areas,Cleaning Supplies,,,,,
Apparel,13017,Aloft Seattle Redmond,Aloft Seattle Redmond,https://www.marriott.com/hotels/travel/seaad-aloft-seattle-redmond/,,Show,,13017,,Accommodations,,,,,
Apparel,13020,American Formula,American Formula,http://americanformula.com,,Category,,13020,,Chemicals,,,,,
Apparel,13021,American Hotel Register Company,American Hotel Register Company,http://americanhotel.com,,Category,,13021,,Household Goods & Apparel,,,,,
Apparel,13022,"American Paper Converting, Inc. / Eco Green",American Paper Converting / Eco Green,http://americanpaperco.com,,Category,,13022,,Household Goods & Apparel,,,,,
Apparel,13023,Americo Manufacturing Company,Americo Manufacturing Company,http://americomfg.com,,Category,,13023,,Household Goods & Apparel,,,,,
Apparel,13025,Annihilare/Annihilyte,Annihilare/Annihilyte,http://annihilare.com,,Category,,13025,,Chemicals,,,,,
Apparel,13027,"Area Distributors, Inc.",Area Distributors,http://areadistributors.com,,Show,,13027,"Distributer for office, janitorial, electronics, furniture, tool, and industrial supplies",Retail,,,,,
Apparel,13028,Asian Paints Limited,Asian Paints,http://asianpaints.com,,Show,,13028,Paints and chemicals for cleaning and/or stain removers,Home Decor,Cleaning Supplies,,,,
Apparel,13029,"Associated Building Maintenance, Co.","Associated Building Maintenance, Co.",http://abmcoinc.com,,Show,,13029,Check,Cleaning Services,,,,,
Apparel,13030,"Atlas Paper Mills, LLC",Atlas Paper Mills,http://resolutetissue.com,,Show,,13030,Paper towels and tissues for homes,Cleaning Supplies,Kitchen Supplies,,,,
Apparel,13031,ATRA Janitorial Supply Co Inc,ATRA Janitorial Supply Co,http://atrajanitorialsupply.com,,Category,,13031,"Janitorial floor, cleaning chemiucals and trash bags",Industrial Cleaning Products,,,,,
Apparel,13032,B.B.C. Paints,B.B.C. Paints,http://bbcpaint.com,,Show,,13032,Paints and chemicals for cleaning and/or stain removers,Home Decor,Cleaning Supplies,,,,
Apparel,13033,Benjamin Moore & Co,Benjamin Moore & Co,https://www.benjaminmoore.com/en-us,,Show,,13033,Paints and chemicals for cleaning and/or stain removers,Home Decor,Cleaning Supplies,,,,
Apparel,13034,BETCO Corporation,BETCO,http://betco.com,,Category,,13034,,Industrial Cleaning Products,,,,,
Apparel,13036,BISM,BISM,http://bism.org,,Show,,13036,,Nonprofits,,,,,
Apparel,13037,Bison Production Company - Kleen HandlerÃ‚Â®,Bison Production Company - Kleen HandlerÃ‚Â®,http://bisonproduction.com,,Category,,13037,,Industrial Cleaning Products,,,,,
Apparel,13039,"Bolana Capitol Enterprises, Inc.",Bolana Capitol Enterprises,http://bolanacapitol.com,,Show,,13039,Check,Cleaning Services,,,,,
Apparel,13040,"Bolana Enterprises, Inc.",Bolana Enterprises,http://bolanainc.com,,Show,,13040,Check,Cleaning Services,,,,,
Apparel,13042,Bortek Industries,Bortek Industries,http://sweeperland.com,,Category,,13042,,Industrial Cleaning Products,,,,,
Apparel,13044,"Brame Specialty Company, Inc.",Brame Specialty Company,http://bramespecialty.com,,Show,,13044,"Furniture, technology, janitoral, and school supplies",Wholesalers,,,,,
Apparel,13045,Branch Creek,Branch Creek,http://branchcreek.earth,,Show,,13045,Fertilizer and soil control products,"Nursery, Lawn & Garden Stores",,,,,
Apparel,13046,Brandless,Brandless,http://brandless.com,,Show,,13046,they sell cosmetics and skincare products,"Cosmetics, Beauty Supplies & Personal Care",Skincare,,,,
Apparel,13047,Bridgepoint,Bridgepoint,http://bridgepoint.eu,,Show,,13047,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities.",Investment Services,Securities Brokerage,Commodity Contracts Brokerage,,,
Apparel,13048,Brown Chemical Company,Brown Chemical Company,http://brownchem.com,,Category,,13048,,Chemicals,,,,,
Apparel,13049,Brulin & Company,Brulin & Company,http://bhcinc.com,,Category,,13049,,Chemicals,,,,,
Apparel,13050,"Buckeye International, Inc.",Buckeye International,http://buckeyeinternational.com,,Category,,13050,,Industrial Cleaning Products,,,,,
Apparel,13051,Building Maintenance Service,Building Maintenance Service,http://bmsbuildingservice.com,,Show,,13051,Check,Cleaning Services,,,,,
Apparel,13054,Cascades Tissue Group,Cascades Tissue Group,https://www.cascades.com/en/about-us/our-company/leader-hygiene-tissue-papers,,Category,,13054,,Paper Products,,,,,
Apparel,13055,Catering by Michael's,Catering by Michael's,http://cateringbymichaels.com,,Show,,13055,,Catering Services,,,,,
Apparel,13056,"Cavalier, Inc.",Cavalier,http://cateringbymichaels.com,,Category,,13056,,Industrial Cleaning Products,,,,,
Apparel,13058,"ChemBlend Intenational, LLC",ChemBlend Intenational,http://thechampioncompany.com,,Category,,13058,,Industrial Cleaning Products,,,,,
Apparel,13059,Chemco Corporation,Chemco,http://chemblendllc.com,,Category,,13059,,Household Goods & Apparel,,,,,
Apparel,13060,"Chemical Universe, Inc.",Chemical Universe,http://chemco.net,,Category,,13060,,Industrial Cleaning Products,,,,,
Apparel,13061,Chimes District of Columbia,Chimes District of Columbia,http://chemicaluniverse.com,,Category,,13061,,Social Services,,,,,
Apparel,13062,CleÃƒÂ¡ Care Essentials,CleÃƒÂ¡ Care Essentials,http://#N/A,,Category,,13062,,Industrial Cleaning Products,,,,,
Apparel,13063,Clean Control Corporation/OdoBan,Clean Control/OdoBan,http://health.clevelandclinic.org,,Category,,13063,,Industrial Cleaning Products,,,,,
Travel Services,17605,OdoBan,OdoBan,http://www.odoban.com/,https://www.cleancontrol.com/wp-content/uploads/2017/05/Brands_001_Smaller-510x382.png,Show,,13063,Laundry products and other cleaning supplies,Cleaning Supplies,,,,,
Travel Services,17606,Lethal,Lethal,http://www.lethalproducts.com/,https://www.lethalproducts.com/wp-content/uploads/2016/02/Lethal-Logo.png,Show,,13063,Laundry products and other cleaning supplies,Cleaning Supplies,,,,,
Apparel,13064,CleanCoreÃ¢â€žÂ¢ Technologies,CleanCoreÃ¢â€žÂ¢ Technologies,http://cleancontrol.com,,Category,,13064,,Industrial Cleaning Products,,,,,
Apparel,13065,Cleanfreak,Cleanfreak,http://cleanfreak.com,,Category,,13065,"Floor scrubbers, carpet extractors, and disinfectants",Industrial Cleaning Products,,,,,
Apparel,13066,"CleanOffice, Inc.",CleanOffice,http://cleanoffice.com,,Show,,13066,Check,Cleaning Services,,,,,
