"companyName","_id"
"Stanley Black & Decker","620ab7774aaeb67237a37fab"
"Constellation Brands Inc","620ab7774aaeb67237a37faf"
"AT&T","620ab7774aaeb67237a37fb3"
"Third Federal Savings & Loan","620ab7774aaeb67237a37fb7"
"Tiffany & Co.","620ab7774aaeb67237a37fbb"
"The Hanover Insurance Group","620ab7774aaeb67237a37fbf"
"T-Mobile","620ab7774aaeb67237a37fc3"
"Toll Brothers","620ab7774aaeb67237a37fc7"
"The TJX Companies","620ab7774aaeb67237a37fcb"
"Target","620ab7774aaeb67237a37fcf"
"Tandem Diabetes Care, Inc.","620ab7774aaeb67237a37fd3"
"Tapestry, Inc.","620ab7774aaeb67237a37fd7"
"LendingTree, Inc.","620ab7774aaeb67237a37fdb"
"T. Rowe Price","620ab7774aaeb67237a37fdf"
"Tempur Sealy","620ab7774aaeb67237a37fe3"
"Trex Company, Inc.","620ab7784aaeb67237a37fe7"
"Targa Resources","620ab7784aaeb67237a37feb"
"TripAdvisor Inc","620ab7784aaeb67237a37fef"
"TransUnion LLC","620ab7784aaeb67237a37ff3"
"Travelers","620ab7784aaeb67237a37ff7"
"Tesla","620ab7784aaeb67237a37ffb"
"Tractor Supply Co","620ab7784aaeb67237a37fff"
"Take-Two Interactive Software Inc","620ab7784aaeb67237a38003"
"Twitter Inc","620ab7784aaeb67237a38007"
"United Airlines Holdings, Inc","620ab7784aaeb67237a3800b"
"2U, Inc.","620ab7784aaeb67237a3800f"
"Twilio","620ab7784aaeb67237a38013"
"Uber Technologies, Inc.","620ab7784aaeb67237a38017"
"UGI Corporation","620ab7784aaeb67237a3801b"
"Two Harbors","620ab7784aaeb67237a3801f"
"The Trade Desk, Inc.","620ab7784aaeb67237a38023"
"Tyler Technologies Inc","620ab7794aaeb67237a38027"
"Ubiquiti","620ab7794aaeb67237a3802b"
"Unum","620ab7794aaeb67237a3802f"
"Ulta Beauty, Inc","620ab7794aaeb67237a38033"
"United Rentals Inc","620ab7794aaeb67237a38037"
"Union Pacific Corp","620ab7794aaeb67237a3803b"
"Umpqua Bank","620ab7794aaeb67237a3803f"
"AMERCO","620ab7794aaeb67237a38043"
"United Parcel Service, Inc.","620ab7794aaeb67237a38047"
