"id","name","found"
"10801","Timken Co",true
"10802","Thermo Fisher Scientific Inc",true
"10803","T-Mobile US, Inc",true
"10804","Terminix Global Holdings Inc",true
"10805","Tandem Diabetes Care, Inc.",true
"10806","Toll Brothers Inc",true
"10807","Tapestry, Inc.",true
"10808","Tempur Sealy International, Inc.",true
"10809","LendingTree, Inc.",true
"10810","Trex Company, Inc.",true
"10811","Targa Resources Corp",true
"10812","TripAdvisor Inc",true
"10813","Trimble, Inc.",true
"10814","Trinity Industries Inc",true
"10815","T. Rowe Price Group Inc.",true
"10816","TransUnion LLC",true
"10817","The Travelers Companies, Inc.",true
"10818","Tractor Supply Co Inc",true
"10819","Tesla, Inc.",true
"10820","Tyson Foods Inc",true
"10821","Trane Technologies",true
