action,type,original,companyId,companyName
ADD,MANUAL,Facebook Payments Inc.,621b99335f87e75f5365a44d,
ADD,MANUAL,Facebook Payments,621b99335f87e75f5365a44d,
ADD,MANUAL,Facebook Technologies,621b99335f87e75f5365a44d,
ADD,MANUAL,Facebookpay,621b99335f87e75f5365a44d,
ADD,MANUAL,Family Dollar,621b99b25f87e75f5365ee71,
ADD,MANUAL,Google Google Google Sto,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Google Youtube,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremium Google Youtubepre,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Videos Google Youtube Vi,621b99b35f87e75f5365eec5,
ADD,MANUAL,You Tube,621b99b35f87e75f5365eec5,
ADD,MANUAL,Google Music,621b99b35f87e75f5365eec5,
ADD,MANUAL,You Tube Music,621b99b35f87e75f5365eec5,
ADD,MANUAL,You Tube Premium,621b99b35f87e75f5365eec5,
ADD,MANUAL,You Tube Tv,621b99b35f87e75f5365eec5,
ADD,MANUAL,You Tube Videos,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremium,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Memb,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Member,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Music,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Super,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Tv,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Tv Go,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Vide,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Videg.co/helppay# Ca,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtube Videos,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremi,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremiu,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremium Mountain,621b99b35f87e75f5365eec5,
ADD,MANUAL,Youtubepremium G.co/helppay#,621b99b35f87e75f5365eec5,
ADD,MANUAL,H&M,621b99c05f87e75f5365f6a5,
ADD,MANUAL,"Harris Teeter Supermarkets, Inc.",621b99b75f87e75f5365f111,
ADD,MANUAL,Help.hbomax,621b99bd5f87e75f5365f471,
ADD,MANUAL,Hllfrsh,62def3ef7b212526d1e0a1a5,
ADD,MANUAL,Diamonds,621b99b15f87e75f5365ed55,
ADD,MANUAL,Hertz,62def2697b212526d1e07be8,
ADD,MANUAL,Dollar Rent A Car,62def2697b212526d1e07be8,
ADD,MANUAL,Enterprise Rent-A-Car,62def2697b212526d1e07be8,
ADD,MANUAL,The Home Depot,621b99345f87e75f5365a50d,
ADD,MANUAL,Home Depot,621b99345f87e75f5365a50d,
ADD,MANUAL,Instant Ink,621b99355f87e75f5365a529,
ADD,MANUAL,Hp Food And Bev,621b99355f87e75f5365a529,
ADD,MANUAL,Hulu,621b99b25f87e75f5365ee4d,
ADD,MANUAL,Eataly,62def2367b212526d1e077a2,
ADD,MANUAL,Instacart San,62def2367b212526d1e077a2,
ADD,MANUAL,"Instacart Httpsinstacar,",62def2367b212526d1e077a2,
ADD,MANUAL,Instacart Httpsinstacarc,62def2367b212526d1e077a2,
ADD,MANUAL,Instacart Express Membership,62def2367b212526d1e077a2,
ADD,MANUAL,Jcpenney.co,621b99bb5f87e75f5365f381,
ADD,MANUAL,JCPenney,621b99bb5f87e75f5365f381,
ADD,MANUAL,Osco,62def3ee7b212526d1e0a141,
ADD,MANUAL,Lands,62deed677b212526d1e0105a,
ADD,MANUAL,Le Labo Fragrances,621b99d45f87e75f536601d9,
ADD,MANUAL,Loreal,621b996b5f87e75f5365c4b5,
ADD,MANUAL,Lululemoncom,621b99365f87e75f5365a611,
ADD,MANUAL,Lululemon Athletica,621b99365f87e75f5365a611,
ADD,MANUAL,Lululemon Market,621b99365f87e75f5365a611,
ADD,MANUAL,Residence Inn By Marriott,621b99375f87e75f5365a665,
ADD,MANUAL,Jw Marriott Tampa Water Street,621b99375f87e75f5365a665,
ADD,MANUAL,Marshalls,621b99bd5f87e75f5365f475,
ADD,MANUAL,&#10;marshalls,621b99bd5f87e75f5365f475,
ADD,MANUAL,Microsoft Apps,621b99375f87e75f5365a661,
ADD,MANUAL,Xbox Live,621b99375f87e75f5365a661,
ADD,MANUAL,Onedrive,621b99375f87e75f5365a661,
ADD,MANUAL,Onedrive Sta,621b99375f87e75f5365a661,
ADD,MANUAL,Nikepos_us,621b99375f87e75f5365a691,
