"id","name","score"
"62192d48f022c9e3fbfe43b5","SiriusXM",-14.5
"62192d48f022c9e3fbfe43b9","Smartsheet",-13
"62192d48f022c9e3fbfe43bd","Roper Technologies",-11.5
"62192d48f022c9e3fbfe43c1","Synopsys",-8
"62192d48f022c9e3fbfe43c5","SYNNEXation",0
"62192d48f022c9e3fbfe43c9","S&P Global",6
"62192d48f022c9e3fbfe43cd","Square",-4.5
"62192d48f022c9e3fbfe43d1","Stericycle",-11
"62192d48f022c9e3fbfe43d5","SS&C Technologies",-11.5
"62192d48f022c9e3fbfe43d9","The Southern Company",-9
"62192d49f022c9e3fbfe43dd","Sterling Bancorp",-12
"62192d49f022c9e3fbfe43e1","Sempra Energy",-2
"62192d49f022c9e3fbfe43e5","Spectrum Brands Holdings",-8
"62192d49f022c9e3fbfe43e9","Synovus Financial",-10
"62192d49f022c9e3fbfe43ed","Extended Stay America",0
"62192d49f022c9e3fbfe43f1","TCF Financial",0
"62192d49f022c9e3fbfe43f5","The Hanover Insurance Group",-10
"62192d49f022c9e3fbfe43f9","TFS Financial",-11.5
"62192d49f022c9e3fbfe43fd","Solarwinds",-12
"62192d49f022c9e3fbfe4401","Splunk",-8.5
"62192d49f022c9e3fbfe4405","Sysco",1.5
"62192d49f022c9e3fbfe4409","Target",4.5
