"userId","merchantFrequencies"
"621b99265f87e75f53659d38","[{""company"":""AT&T"",""frequency"":31},{""company"":""Best Buy"",""frequency"":1},{""company"":""Banana Republic"",""frequency"":1},{""company"":""Stop & Shop"",""frequency"":2},{""company"":""Kohl's"",""frequency"":1},{""company"":""Madewell"",""frequency"":11},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Sephora"",""frequency"":6},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":1},{""company"":""Macy's Inc."",""frequency"":2},{""company"":""Walmart"",""frequency"":8},{""company"":""Staples"",""frequency"":5},{""company"":""CVS Pharmacy"",""frequency"":28}]"
"621b99265f87e75f53659d4c","[{""company"":""Sam's Club"",""frequency"":8},{""company"":""Microsoft"",""frequency"":4},{""company"":""Walgreens Co."",""frequency"":8},{""company"":""GrubHub"",""frequency"":1},{""company"":""Staples"",""frequency"":2},{""company"":""Kohl's"",""frequency"":2}]"
"621b99265f87e75f53659d54","[{""company"":""Southwest Airlines Co."",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":4},{""company"":""Expedia"",""frequency"":1},{""company"":""Meta"",""frequency"":2},{""company"":""Earth Breeze"",""frequency"":1},{""company"":""GrubHub"",""frequency"":1},{""company"":""Staples"",""frequency"":1},{""company"":""Walmart"",""frequency"":66},{""company"":""CVS Pharmacy"",""frequency"":18},{""company"":""Macy's Inc."",""frequency"":20},{""company"":""Office Depot"",""frequency"":3},{""company"":""Kohl's"",""frequency"":1},{""company"":""Best Buy"",""frequency"":1},{""company"":""Costco"",""frequency"":1}]"
"621b99275f87e75f53659d88","[{""company"":""CVS Pharmacy"",""frequency"":61},{""company"":""Walmart"",""frequency"":70},{""company"":""Stop & Shop"",""frequency"":46},{""company"":""Walgreens Co."",""frequency"":1},{""company"":""Nordstrom"",""frequency"":6},{""company"":""Office Depot"",""frequency"":1},{""company"":""Kohl's"",""frequency"":3},{""company"":""Macy's Inc."",""frequency"":12},{""company"":""American Eagle Outfitters"",""frequency"":1},{""company"":""asos"",""frequency"":2},{""company"":""Under Armour"",""frequency"":1},{""company"":""Adidas"",""frequency"":1},{""company"":""Famous Footwear"",""frequency"":2},{""company"":""Old Navy"",""frequency"":3},{""company"":""Microsoft"",""frequency"":1},{""company"":""BJs Wholesale Club"",""frequency"":5},{""company"":""Staples"",""frequency"":2}]"
"621b99275f87e75f53659dac","[{""company"":""CVS Pharmacy"",""frequency"":11},{""company"":""Curology"",""frequency"":2},{""company"":""Walmart"",""frequency"":2},{""company"":""ALDO"",""frequency"":1},{""company"":""Marley Spoon"",""frequency"":4},{""company"":""Prose"",""frequency"":2},{""company"":""Costco"",""frequency"":5},{""company"":""Nordstrom"",""frequency"":1},{""company"":""Sephora"",""frequency"":1},{""company"":""Splendid Spoon"",""frequency"":1},{""company"":""GrubHub"",""frequency"":72}]"
"621b99275f87e75f53659dbc","[{""company"":""CVS Pharmacy"",""frequency"":1},{""company"":""Expedia"",""frequency"":2},{""company"":""Dashing Diva"",""frequency"":1},{""company"":""Southwest Airlines Co."",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":4},{""company"":""Food Lion"",""frequency"":3},{""company"":""Costco"",""frequency"":64}]"
"621b99275f87e75f53659dc0","[{""company"":""Rite Aid"",""frequency"":1},{""company"":""West Elm"",""frequency"":3},{""company"":""Verizon Communications"",""frequency"":25},{""company"":""Nordstrom"",""frequency"":4},{""company"":""Vans"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":9},{""company"":""CVS Pharmacy"",""frequency"":3},{""company"":""Framebridge"",""frequency"":3},{""company"":""Walmart"",""frequency"":1}]"
"621b99275f87e75f53659dd8","[{""company"":""American Eagle Outfitters"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":2},{""company"":""Vans"",""frequency"":1},{""company"":""Old Navy"",""frequency"":1},{""company"":""Dick's Sporting Goods"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":2},{""company"":""Walmart"",""frequency"":3}]"
"621b99275f87e75f53659e0c","[{""company"":""Food Lion"",""frequency"":47},{""company"":""Athleta"",""frequency"":1},{""company"":""Panera Bread"",""frequency"":6},{""company"":""Glossier"",""frequency"":1},{""company"":""American Eagle Outfitters"",""frequency"":1},{""company"":""Staples"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":74},{""company"":""Walmart"",""frequency"":53},{""company"":""Office Depot"",""frequency"":1},{""company"":""Groupon Inc."",""frequency"":3},{""company"":""GrubHub"",""frequency"":1},{""company"":""Walgreens Co."",""frequency"":12}]"
"621b99285f87e75f53659e30","[{""company"":""Thrive Market"",""frequency"":3},{""company"":""Verizon Communications"",""frequency"":6},{""company"":""Best Buy"",""frequency"":1},{""company"":""Rite Aid"",""frequency"":1},{""company"":""Staples"",""frequency"":1},{""company"":""CVS Pharmacy"",""frequency"":2},{""company"":""HP"",""frequency"":5},{""company"":""GrubHub"",""frequency"":8},{""company"":""Olay"",""frequency"":1},{""company"":""GoDaddy"",""frequency"":2},{""company"":""Walgreens Co."",""frequency"":11}]"
